Source,Target,Weight,Passes,Type
202326,2733,9,114,Directed
202691,2733,8,121,Directed
201939,1628395,8,93,Directed
2733,1626172,8,87,Directed
2738,202326,8,73,Directed
1626172,201973,8,85,Directed
202326,1626188,8,90,Directed
201973,1626188,8,272,Directed
201973,1628035,8,59,Directed
1626188,1627745,7,62,Directed
1628980,1626188,7,63,Directed
203110,2733,7,214,Directed
1627745,201142,7,115,Directed
201973,2738,7,140,Directed
2733,2738,7,142,Directed
201142,2733,7,112,Directed
202691,1628035,7,29,Directed
2738,2733,7,124,Directed
1628395,1627814,7,59,Directed
1626188,2738,7,131,Directed
1628395,202691,7,69,Directed
2733,1627814,6,35,Directed
1626172,1627814,6,34,Directed
203110,1626188,6,136,Directed
203110,1627745,6,31,Directed
2733,201142,6,148,Directed
1628395,1628035,6,62,Directed
202691,1627745,6,57,Directed
1626188,1626172,6,84,Directed
1628395,201939,6,158,Directed
202691,1628395,5,68,Directed
2738,1628395,5,52,Directed
1626172,2733,5,113,Directed
1626172,1628035,5,58,Directed
1628035,1626188,5,149,Directed
1628035,202691,5,44,Directed
1627745,201939,5,73,Directed
201973,1628395,5,56,Directed
1626188,1627814,5,64,Directed
1626188,1628035,5,94,Directed
1628980,1626172,5,20,Directed
1627745,1626188,4,73,Directed
202691,1627814,4,12,Directed
2738,1627814,4,14,Directed
1626172,1626188,4,108,Directed
1628035,201939,4,142,Directed
2733,1628035,4,32,Directed
2733,1626188,4,114,Directed
1628035,201142,4,123,Directed
1628035,202326,4,22,Directed
202326,2738,4,68,Directed
202326,201973,4,12,Directed
1627814,201973,4,34,Directed
1628395,201973,4,85,Directed
1626188,1629094,4,19,Directed
1626188,2733,4,132,Directed
1626188,202326,4,111,Directed
1628395,1628980,4,56,Directed
201142,1627814,4,23,Directed
201939,101106,4,27,Directed
203110,1628395,3,13,Directed
203110,1627814,3,15,Directed
201142,101106,3,17,Directed
201973,1627814,3,30,Directed
101106,201939,3,47,Directed
202326,1628035,3,27,Directed
1628395,2738,3,99,Directed
1627814,1628395,3,45,Directed
1628980,201973,3,25,Directed
1628980,1628395,3,49,Directed
202326,1628395,3,16,Directed
1628035,1626172,3,40,Directed
201973,203110,2,96,Directed
101106,202691,2,16,Directed
1628980,1628035,2,12,Directed
202691,101106,2,18,Directed
1626172,203110,2,193,Directed
202326,1627814,2,15,Directed
1628395,2733,2,82,Directed
1628395,1627745,2,3,Directed
1628980,1629094,2,2,Directed
201939,1627814,2,14,Directed
1628035,201973,2,47,Directed
201939,1626188,2,19,Directed
101106,201142,2,35,Directed
101106,203110,2,38,Directed
201973,1626172,2,42,Directed
1626188,1628980,2,66,Directed
1628395,1626172,2,11,Directed
1628395,203110,2,23,Directed
1626172,1629094,1,1,Directed
1627814,1626188,1,78,Directed
1626188,203110,1,108,Directed
1628395,202326,1,19,Directed
1626188,101106,1,14,Directed
1628980,1627814,1,31,Directed
1627814,1629094,1,8,Directed
1628395,1629094,1,8,Directed
1627814,1628980,1,17,Directed
202326,1628980,1,7,Directed
1627814,201142,1,35,Directed
1627814,201939,1,18,Directed
1627814,1628035,1,9,Directed
1629094,201973,1,9,Directed
201142,1629094,1,3,Directed
2733,1628395,1,64,Directed
1628035,203110,1,113,Directed
1628035,1629094,1,5,Directed
1628035,1627745,1,3,Directed
101106,1628035,1,4,Directed
1627745,2738,1,29,Directed
201973,1629094,1,6,Directed
201973,1628980,1,33,Directed
2738,1628980,1,8,Directed
1628980,202326,1,15,Directed
1626172,1628395,1,15,Directed
2738,1627745,1,14,Directed
1626172,1628980,1,12,Directed
1628395,101106,0,3,Directed
1627814,1626172,0,26,Directed
1626188,201939,0,17,Directed
1627814,202691,0,12,Directed
101106,1628395,0,4,Directed
101106,1628980,0,1,Directed
202691,203076,0,1,Directed
1628980,201939,0,3,Directed
1628980,101106,0,1,Directed
1628980,2738,0,9,Directed
1628980,2733,0,3,Directed
1628980,1627745,0,1,Directed
1628980,202691,0,1,Directed
1628980,203110,0,6,Directed
1628980,201142,0,4,Directed
202691,1629094,0,1,Directed
1626172,202326,0,2,Directed
1626172,202734,0,1,Directed
1626172,1627745,0,1,Directed
2738,101106,0,8,Directed
202326,1626172,0,2,Directed
1627814,2738,0,18,Directed
1627814,101106,0,1,Directed
1627814,202326,0,11,Directed
1627814,1627745,0,5,Directed
1627814,2733,0,34,Directed
1627814,203110,0,15,Directed
