PLAYER_ID,PLAYER_NAME_LAST_FIRST,PASS_TO,PASS_TEAMMATE_PLAYER_ID,PASS,AST
202702,"Faried, Kenneth","Harden, James",201935,282,4
202702,"Faried, Kenneth","Gordon, Eric",201569,63,3
202702,"Faried, Kenneth","Tucker, P.J.",200782,21,2
202702,"Faried, Kenneth","Green, Gerald",101123,31,2
202702,"Faried, Kenneth","Paul, Chris",101108,187,4
202702,"Faried, Kenneth",Nene,2403,1,0
2403,Nene,"Clark, Gary",1629109,9,1
2403,Nene,"House Jr., Danuel",1627863,28,3
2403,Nene,"Ennis III, James",203516,6,3
2403,Nene,"Carter-Williams, Michael",203487,14,1
2403,Nene,"Nunnally, James",203263,1,0
2403,Nene,"Rivers, Austin",203085,89,3
2403,Nene,"Faried, Kenneth",202702,1,0
2403,Nene,"Shumpert, Iman",202697,9,1
2403,Nene,"Knight, Brandon",202688,19,0
2403,Nene,"Harden, James",201935,221,4
2403,Nene,"Gordon, Eric",201569,50,5
2403,Nene,"Tucker, P.J.",200782,11,0
2403,Nene,"Green, Gerald",101123,38,4
2403,Nene,"Paul, Chris",101108,102,1
1628392,"Hartenstein, Isaiah","Clark, Gary",1629109,9,0
1628392,"Hartenstein, Isaiah","House Jr., Danuel",1627863,8,3
1628392,"Hartenstein, Isaiah","Ennis III, James",203516,3,0
1628392,"Hartenstein, Isaiah","Carter-Williams, Michael",203487,30,1
1628392,"Hartenstein, Isaiah","Rivers, Austin",203085,12,1
1628392,"Hartenstein, Isaiah","Shumpert, Iman",202697,2,0
1628392,"Hartenstein, Isaiah","Harden, James",201935,65,0
1628392,"Hartenstein, Isaiah","Gordon, Eric",201569,20,2
1628392,"Hartenstein, Isaiah","Tucker, P.J.",200782,7,2
1628392,"Hartenstein, Isaiah","Green, Gerald",101123,22,4
1628392,"Hartenstein, Isaiah","Paul, Chris",101108,60,1
1628392,"Hartenstein, Isaiah","Anthony, Carmelo",2546,3,1
